index,pts_time,pkt_pts_time,pkt_dts_time,best_effort_timestamp_time,key_frame,pict_type,pkt_size,width,height
224,22.398067,,22.398067,22.398067,0,P,22074.0,1280.0,640.0
225,22.497833,,22.497833,22.497833,0,P,22212.0,1280.0,640.0
226,22.597833,,22.597833,22.597833,0,P,21831.0,1280.0,640.0
227,22.697833,,22.697833,22.697833,0,P,22522.0,1280.0,640.0
228,22.797833,,22.797833,22.797833,0,P,22501.0,1280.0,640.0
229,22.897833,,22.897833,22.897833,0,P,22154.0,1280.0,640.0
230,22.997833,,22.997833,22.997833,1,I,56523.0,1280.0,640.0
231,23.097833,,23.097833,23.097833,0,P,29712.0,1280.0,640.0
232,23.197833,,23.197833,23.197833,0,P,27568.0,1280.0,640.0
233,23.297711,,23.297711,23.297711,0,P,27867.0,1280.0,640.0
234,23.397878,,23.397878,23.397878,0,P,26962.0,1280.0,640.0
235,23.497767,,23.497767,23.497767,0,P,27857.0,1280.0,640.0
236,23.597656,,23.597656,23.597656,0,P,26974.0,1280.0,640.0
237,23.6977,,23.6977,23.6977,0,P,28072.0,1280.0,640.0
238,23.797744,,23.797744,23.797744,0,P,28067.0,1280.0,640.0
239,23.897678,,23.897678,23.897678,0,P,28060.0,1280.0,640.0
240,23.997722,,23.997722,23.997722,1,I,65566.0,1280.0,640.0
241,24.097667,,24.097667,24.097667,0,P,29470.0,1280.0,640.0
242,24.197611,,24.197611,24.197611,0,P,29449.0,1280.0,640.0
243,24.297556,,24.297556,24.297556,0,P,28030.0,1280.0,640.0
244,24.397611,,24.397611,24.397611,0,P,28563.0,1280.0,640.0
245,24.497667,,24.497667,24.497667,0,P,27016.0,1280.0,640.0
246,24.598522,,24.598522,24.598522,0,P,29268.0,1280.0,640.0
247,24.697567,,24.697567,24.697567,0,P,23067.0,1280.0,640.0
248,24.797567,,24.797567,24.797567,0,P,30187.0,1280.0,640.0
249,24.897567,,24.897567,24.897567,0,P,22916.0,1280.0,640.0
250,24.997567,,24.997567,24.997567,1,I,68233.0,1280.0,640.0
251,25.097567,,25.097567,25.097567,0,P,30675.0,1280.0,640.0
252,25.197567,,25.197567,25.197567,0,P,30712.0,1280.0,640.0
253,25.297567,,25.297567,25.297567,0,P,29483.0,1280.0,640.0
254,25.397967,,25.397967,25.397967,0,P,30112.0,1280.0,640.0
255,25.497489,,25.497489,25.497489,0,P,29719.0,1280.0,640.0
256,25.597478,,25.597478,25.597478,0,P,29976.0,1280.0,640.0
257,25.697467,,25.697467,25.697467,0,P,30590.0,1280.0,640.0
258,25.797456,,25.797456,25.797456,0,P,30854.0,1280.0,640.0
259,25.897444,,25.897444,25.897444,0,P,30751.0,1280.0,640.0
260,25.997544,,25.997544,25.997544,1,I,71506.0,1280.0,640.0
261,26.097489,,26.097489,26.097489,0,P,33738.0,1280.0,640.0
262,26.197433,,26.197433,26.197433,0,P,31949.0,1280.0,640.0
263,26.297611,,26.297611,26.297611,0,P,32186.0,1280.0,640.0
264,26.397444,,26.397444,26.397444,0,P,31492.0,1280.0,640.0
265,26.4974,,26.4974,26.4974,0,P,31864.0,1280.0,640.0
266,26.597356,,26.597356,26.597356,0,P,31606.0,1280.0,640.0
267,26.697311,,26.697311,26.697311,0,P,31776.0,1280.0,640.0
268,26.797267,,26.797267,26.797267,0,P,31437.0,1280.0,640.0
269,26.897867,,26.897867,26.897867,0,P,31739.0,1280.0,640.0
270,26.997311,,26.997311,26.997311,1,I,73661.0,1280.0,640.0
271,27.097311,,27.097311,27.097311,0,P,35143.0,1280.0,640.0
272,27.197311,,27.197311,27.197311,0,P,32427.0,1280.0,640.0
273,27.297311,,27.297311,27.297311,0,P,25824.0,1280.0,640.0
274,27.397311,,27.397311,27.397311,0,P,33706.0,1280.0,640.0
275,27.497311,,27.497311,27.497311,0,P,32148.0,1280.0,640.0
276,27.597311,,27.597311,27.597311,0,P,26420.0,1280.0,640.0
277,27.6972,,27.6972,27.6972,0,P,34623.0,1280.0,640.0
278,27.797211,,27.797211,27.797211,0,P,33503.0,1280.0,640.0
279,27.897222,,27.897222,27.897222,0,P,25886.0,1280.0,640.0
280,27.997233,,27.997233,27.997233,1,I,75445.0,1280.0,640.0
281,28.097244,,28.097244,28.097244,0,P,36467.0,1280.0,640.0
282,28.197156,,28.197156,28.197156,0,P,34068.0,1280.0,640.0
283,28.297178,,28.297178,28.297178,0,P,21397.0,1280.0,640.0
284,28.3972,,28.3972,28.3972,0,P,27423.0,1280.0,640.0
285,28.497222,,28.497222,28.497222,0,P,34476.0,1280.0,640.0
286,28.597244,,28.597244,28.597244,0,P,26353.0,1280.0,640.0
287,28.6971,,28.6971,28.6971,0,P,27046.0,1280.0,640.0
288,28.797144,,28.797144,28.797144,0,P,36057.0,1280.0,640.0
289,28.897189,,28.897189,28.897189,0,P,34461.0,1280.0,640.0
290,28.9971,,28.9971,28.9971,1,I,77501.0,1280.0,640.0
291,29.097011,,29.097011,29.097011,0,P,29505.0,1280.0,640.0
292,29.197078,,29.197078,29.197078,0,P,29435.0,1280.0,640.0
293,29.297044,,29.297044,29.297044,0,P,29645.0,1280.0,640.0
294,29.397011,,29.397011,29.397011,0,P,29206.0,1280.0,640.0
295,29.496978,,29.496978,29.496978,0,P,29361.0,1280.0,640.0
296,29.596944,,29.596944,29.596944,0,P,30042.0,1280.0,640.0
297,29.697111,,29.697111,29.697111,0,P,29536.0,1280.0,640.0
298,29.796956,,29.796956,29.796956,0,P,29844.0,1280.0,640.0
299,29.896978,,29.896978,29.896978,0,P,29273.0,1280.0,640.0
300,29.997,,29.997,29.997,1,I,72304.0,1280.0,640.0
301,30.097267,,30.097267,30.097267,0,P,32007.0,1280.0,640.0
302,30.1969,,30.1969,30.1969,0,P,30848.0,1280.0,640.0
303,30.296967,,30.296967,30.296967,0,P,24774.0,1280.0,640.0
304,30.396878,,30.396878,30.396878,0,P,25027.0,1280.0,640.0
305,30.497089,,30.497089,30.497089,0,P,32103.0,1280.0,640.0
306,30.596889,,30.596889,30.596889,0,P,32165.0,1280.0,640.0
307,30.696844,,30.696844,30.696844,0,P,25015.0,1280.0,640.0
308,30.7968,,30.7968,30.7968,0,P,26045.0,1280.0,640.0
309,30.896989,,30.896989,30.896989,0,P,33891.0,1280.0,640.0
310,30.9968,,30.9968,30.9968,1,I,70274.0,1280.0,640.0
311,31.097111,,31.097111,31.097111,0,P,29345.0,1280.0,640.0
312,31.196767,,31.196767,31.196767,0,P,28485.0,1280.0,640.0
313,31.296844,,31.296844,31.296844,0,P,21777.0,1280.0,640.0
314,31.396811,,31.396811,31.396811,0,P,29074.0,1280.0,640.0
315,31.496978,,31.496978,31.496978,0,P,28137.0,1280.0,640.0
316,31.597656,,31.597656,31.597656,0,P,28200.0,1280.0,640.0
317,31.696767,,31.696767,31.696767,0,P,28212.0,1280.0,640.0
318,31.797222,,31.797222,31.797222,0,P,28411.0,1280.0,640.0
319,31.897678,,31.897678,31.897678,0,P,28930.0,1280.0,640.0
320,31.996811,,31.996811,31.996811,1,I,76085.0,1280.0,640.0
321,32.096744,,32.096744,32.096744,0,P,30463.0,1280.0,640.0
322,32.199289,,32.199289,32.199289,0,P,30133.0,1280.0,640.0
323,32.296756,,32.296756,32.296756,0,P,23597.0,1280.0,640.0
324,32.396756,,32.396756,32.396756,0,P,31339.0,1280.0,640.0
325,32.496756,,32.496756,32.496756,0,P,29550.0,1280.0,640.0
326,32.596756,,32.596756,32.596756,0,P,29111.0,1280.0,640.0
327,32.6973,,32.6973,32.6973,0,P,29732.0,1280.0,640.0
328,32.796722,,32.796722,32.796722,0,P,29080.0,1280.0,640.0
329,32.896711,,32.896711,32.896711,0,P,28945.0,1280.0,640.0
330,32.9967,,32.9967,32.9967,1,I,72791.0,1280.0,640.0
331,33.096689,,33.096689,33.096689,0,P,28767.0,1280.0,640.0
332,33.196678,,33.196678,33.196678,0,P,28559.0,1280.0,640.0
333,33.296667,,33.296667,33.296667,0,P,21214.0,1280.0,640.0
